Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
1,158,6.156208038330078,1.6004024744033813,nan,nan,0.0001,nan,1e-08
1,159,6.200420618057251,1.7052167654037476,nan,nan,0.0001,nan,1e-08
1,160,6.252504825592041,1.6886241436004639,nan,nan,0.0001,nan,1e-08
1,161,6.290806770324707,1.6521458625793457,nan,nan,0.0001,nan,1e-08
1,162,6.330773591995239,1.628315806388855,nan,nan,0.0001,nan,1e-08
1,163,6.354718923568726,1.5868760347366333,nan,nan,0.0001,nan,1e-08
1,164,6.379024267196655,1.6683000326156616,nan,nan,0.0001,nan,1e-08
1,165,6.403324842453003,1.6491860151290894,nan,nan,0.0001,nan,1e-08
1,166,6.4277637004852295,1.6889033317565918,nan,nan,0.0001,nan,1e-08
1,167,6.45836877822876,1.7583022117614746,nan,nan,0.0001,nan,1e-08
1,168,6.495354652404785,1.7612147331237793,nan,nan,0.0001,nan,1e-08
1,169,6.53485107421875,1.676493763923645,nan,nan,0.0001,nan,1e-08
1,170,6.574837684631348,1.5569159984588623,nan,nan,0.0001,nan,1e-08
1,171,6.598939418792725,1.6768500804901123,nan,nan,0.0001,nan,1e-08
1,172,6.623239278793335,1.5810712575912476,nan,nan,0.0001,nan,1e-08
1,173,6.6475536823272705,1.679687261581421,nan,nan,0.0001,nan,1e-08
1,174,6.687924861907959,1.6817901134490967,nan,nan,0.0001,nan,1e-08
1,175,6.740478515625,1.5698599815368652,nan,nan,0.0001,nan,1e-08
1,176,6.766620397567749,1.5858057737350464,nan,nan,0.0001,nan,1e-08
1,177,6.809105634689331,1.6008110046386719,nan,nan,0.0001,nan,1e-08
1,178,6.833374977111816,1.4315298795700073,nan,nan,0.0001,nan,1e-08
1,179,6.876516342163086,1.737470030784607,nan,nan,0.0001,nan,1e-08
1,180,6.915663242340088,1.6570265293121338,nan,nan,0.0001,nan,1e-08
1,181,6.941306829452515,1.6500208377838135,nan,nan,0.0001,nan,1e-08
1,182,6.968299865722656,1.5645695924758911,nan,nan,0.0001,nan,1e-08
1,183,7.000678300857544,1.523219108581543,nan,nan,0.0001,nan,1e-08
1,184,7.037386655807495,1.5367255210876465,nan,nan,0.0001,nan,1e-08
1,185,7.0747926235198975,1.5481865406036377,nan,nan,0.0001,nan,1e-08
1,186,7.128233194351196,1.6099854707717896,nan,nan,0.0001,nan,1e-08
1,187,7.166873455047607,1.6058995723724365,nan,nan,0.0001,nan,1e-08
1,188,7.203566312789917,1.566264033317566,nan,nan,0.0001,nan,1e-08
1,189,7.23505425453186,1.5637824535369873,nan,nan,0.0001,nan,1e-08
1,190,7.267455101013184,1.532415509223938,nan,nan,0.0001,nan,1e-08
1,191,7.306721210479736,1.6641857624053955,nan,nan,0.0001,nan,1e-08
1,192,7.33554482460022,1.5769695043563843,nan,nan,0.0001,nan,1e-08
1,193,7.374845504760742,1.5853524208068848,nan,nan,0.0001,nan,1e-08
1,194,7.420722484588623,1.491349458694458,nan,nan,0.0001,nan,1e-08
1,195,7.4449546337127686,1.6906384229660034,nan,nan,0.0001,nan,1e-08
1,196,7.483961343765259,1.7352018356323242,nan,nan,0.0001,nan,1e-08
1,197,7.524303197860718,1.5916866064071655,nan,nan,0.0001,nan,1e-08
1,198,7.557054281234741,1.6972023248672485,nan,nan,0.0001,nan,1e-08
1,199,7.581366777420044,1.653931975364685,nan,nan,0.0001,nan,1e-08
1,200,7.618819952011108,1.6563694477081299,nan,nan,0.0001,nan,1e-08
1,201,7.65928053855896,1.562245488166809,nan,nan,0.0001,nan,1e-08
1,202,7.708166837692261,1.534767746925354,nan,nan,0.0001,nan,1e-08
1,203,7.760329961776733,1.5475152730941772,nan,nan,0.0001,nan,1e-08
1,204,7.788870811462402,1.6091817617416382,nan,nan,0.0001,nan,1e-08
1,205,7.834870100021362,1.696730375289917,nan,nan,0.0001,nan,1e-08
1,206,7.859273910522461,1.6846938133239746,nan,nan,0.0001,nan,1e-08
1,207,7.883603572845459,1.5925211906433105,nan,nan,0.0001,nan,1e-08
1,208,7.922842741012573,1.429571270942688,nan,nan,0.0001,nan,1e-08
1,209,7.962984323501587,1.55135977268219,nan,nan,0.0001,nan,1e-08
1,210,7.987199783325195,1.4504293203353882,nan,nan,0.0001,nan,1e-08
1,211,8.01147723197937,1.6928441524505615,nan,nan,0.0001,nan,1e-08
1,212,8.052815675735474,1.469355821609497,nan,nan,0.0001,nan,1e-08
1,213,8.103086709976196,1.5184199810028076,nan,nan,0.0001,nan,1e-08
1,214,8.142874240875244,1.5074470043182373,nan,nan,0.0001,nan,1e-08
